87, 2026_04_20-PM12_59_19, Gauge #1: Status 0 (Measurement data okay), Pressure: 0.000005 mbar
88, 2026_04_20-PM12_59_20, Gauge #1: Status 0 (Measurement data okay), Pressure: 0.000005 mbar
89, 2026_04_20-PM12_59_21, Gauge #1: Status 0 (Measurement data okay), Pressure: 0.000005 mbar
90, 2026_04_20-PM12_59_23, Gauge #1: Status 0 (Measurement data okay), Pressure: 0.000005 mbar
91, 2026_04_20-PM12_59_24, Gauge #1: Status 0 (Measurement data okay), Pressure: 0.000005 mbar
92, 2026_04_20-PM12_59_25, Gauge #1: Status 0 (Measurement data okay), Pressure: 0.000005 mbar
93, 2026_04_20-PM12_59_27, Gauge #1: Status 0 (Measurement data okay), Pressure: 0.000005 mbar
94, 2026_04_20-PM12_59_28, Gauge #1: Status 0 (Measurement data okay), Pressure: 0.000005 mbar
95, 2026_04_20-PM12_59_29, Gauge #1: Status 0 (Measurement data okay), Pressure: 0.000005 mbar
96, 2026_04_20-PM12_59_31, Gauge #1: Status 0 (Measurement data okay), Pressure: 0.000005 mbar
97, 2026_04_20-PM12_59_32, Gauge #1: Status 0 (Measurement data okay), Pressure: 0.000005 mbar
98, 2026_04_20-PM12_59_33, Gauge #1: Status 0 (Measurement data okay), Pressure: 0.000005 mbar
99, 2026_04_20-PM12_59_35, Gauge #1: Status 0 (Measurement data okay), Pressure: 0.000005 mbar
100, 2026_04_20-PM12_59_36, Gauge #1: Status 0 (Measurement data okay), Pressure: 0.000005 mbar
101, 2026_04_20-PM12_59_37, Gauge #1: Status 0 (Measurement data okay), Pressure: 0.000005 mbar
102, 2026_04_20-PM12_59_39, Gauge #1: Status 0 (Measurement data okay), Pressure: 0.000005 mbar
103, 2026_04_20-PM12_59_40, Gauge #1: Status 0 (Measurement data okay), Pressure: 0.000005 mbar
104, 2026_04_20-PM12_59_41, Gauge #1: Status 0 (Measurement data okay), Pressure: 0.000005 mbar
105, 2026_04_20-PM12_59_43, Gauge #1: Status 0 (Measurement data okay), Pressure: 0.000005 mbar
106, 2026_04_20-PM12_59_44, Gauge #1: Status 0 (Measurement data okay), Pressure: 0.000005 mbar
107, 2026_04_20-PM12_59_46, Gauge #1: Status 0 (Measurement data okay), Pressure: 0.000005 mbar
108, 2026_04_20-PM12_59_47, Gauge #1: Status 0 (Measurement data okay), Pressure: 0.000005 mbar
109, 2026_04_20-PM12_59_48, Gauge #1: Status 0 (Measurement data okay), Pressure: 0.000005 mbar
110, 2026_04_20-PM12_59_50, Gauge #1: Status 0 (Measurement data okay), Pressure: 0.000005 mbar
111, 2026_04_20-PM12_59_51, Gauge #1: Status 0 (Measurement data okay), Pressure: 0.000005 mbar
